Seed_ID,Seed_Weight (mg),Seed_Size (mm),Seed_Color,Moisture_Content (%),Genetic_Marker_1,Genetic_Marker_2,Soil_pH,Temperature (°C),Humidity (%),Germination_Rate (%),Seed_Quality
S00135,2.93,1.93,Light,9.17,1,1,6.13,35,51,80,Medium
S00136,3.39,1.82,Dark,9.31,1,1,6.62,21,55,87,High
S00137,3.31,2.85,Medium,9.53,1,1,6.33,31,71,89,High
S00138,3.47,1.63,Medium,7.19,0,0,7.2,35,67,61,Low
S00139,3.45,1.92,Dark,8.53,1,0,6.61,27,67,89,High
S00140,3.12,2,Dark,7.47,1,1,7.15,28,80,62,Low
S00141,3.35,2.51,Light,7.98,0,1,6.55,21,66,84,Medium
S00142,2.2,1.77,Medium,7.8,0,0,7.04,27,71,69,Medium
S00143,3.35,2.4,Light,7.46,0,1,6.45,26,61,92,High
S00144,2.2,1.6,Medium,8.8,0,0,6.82,32,58,72,Medium
S00145,2.25,1.61,Medium,9.87,0,0,6.47,29,61,98,High
S00146,2.25,1.75,Light,7.32,1,1,7.25,24,77,88,High
S00147,2.24,1.64,Dark,9.73,1,0,6.09,23,51,87,High
S00148,2.24,2.93,Light,9.61,1,0,6.9,35,52,51,Low
S00149,3.33,2.57,Dark,7.92,0,1,6.1,31,69,63,Low
S00150,2.27,2.03,Medium,8.97,0,0,6.23,27,52,72,Medium
S00151,2.16,1.77,Medium,9.04,1,1,6.14,20,77,90,High
S00152,2.95,1.71,Medium,9.8,1,1,6.21,26,71,89,High
S00153,3.16,1.89,Light,8.35,0,0,6.9,23,52,54,Low
S00154,3.25,2.36,Dark,7.6,0,0,6.91,23,75,98,High
S00155,2.06,3,Light,9.72,1,1,6.03,30,55,73,Medium
S00156,2.85,2.76,Dark,8.6,1,0,6.02,20,58,73,Medium
S00157,2.78,1.76,Light,7.71,1,0,6.94,27,61,53,Low
S00158,3.33,2.91,Medium,8.77,0,0,6.39,21,70,59,Low
S00159,3.12,1.72,Light,9.74,1,0,7.01,27,50,69,Medium
S00160,2.06,1.87,Light,7.29,0,0,6.6,28,70,59,Low
S00161,2.49,2.66,Dark,7.9,0,1,6.52,35,59,54,Low
S00162,2.56,2.16,Light,8.27,1,1,6.27,23,78,99,High
S00163,2.76,2.26,Dark,9.2,0,1,6.55,34,70,79,Medium
S00164,2.75,2.2,Light,8.35,1,0,6.3,25,76,95,High
S00165,2.47,2.66,Dark,9.61,1,1,6.29,23,57,68,Medium
S00166,3.4,1.55,Medium,8.83,0,1,6.4,20,80,64,Low
S00167,3.26,2.7,Dark,7.26,0,1,7.25,33,74,96,High
S00168,3.34,2.68,Dark,7.89,1,0,6.68,26,50,92,High
S00169,2.95,2.31,Light,9.65,0,1,6.58,35,63,78,Medium
S00170,3.28,2.23,Light,8.78,0,1,6.19,22,66,85,Medium
S00171,2.87,1.71,Dark,9.7,1,0,6.4,25,60,79,Medium
S00172,2.92,1.97,Medium,7.66,1,0,6.99,20,76,91,High
S00173,2.11,2.44,Medium,9.25,1,1,6.65,35,58,90,High
S00174,3,2.48,Light,7.93,1,1,6.79,25,80,88,High
S00175,3.41,2.91,Light,8.5,1,0,7.06,23,57,70,Medium
S00176,2.49,2.95,Light,8.05,0,1,6.66,24,74,54,Low
S00177,3.04,2.14,Light,8.2,1,1,6.69,30,61,63,Low
S00178,2.4,2.89,Dark,9.99,0,1,7.5,25,71,96,High
S00179,2.41,2.93,Medium,8.09,1,1,7.38,33,55,55,Low
S00180,3.44,2.43,Light,7.29,1,0,6.35,24,69,57,Low
S00181,3.16,2.21,Light,7.02,1,1,6.99,35,69,57,Low
S00182,2.96,2.4,Dark,9.59,1,0,6.24,24,73,52,Low
S00183,2.96,2.52,Medium,7.83,1,0,6.58,28,53,94,High
S00184,2.65,2.62,Dark,7.79,0,1,6.36,21,59,63,Low
S00185,2.14,2.93,Light,7.9,1,1,7.03,32,75,64,Low
S00186,2.8,1.73,Dark,7.82,0,1,6.87,32,73,82,Medium
S00187,2.68,2.3,Light,8,0,1,6.64,24,60,69,Medium
S00188,2.69,2.77,Medium,8.91,1,0,6.05,20,59,65,Low
S00189,2.52,1.93,Dark,7.51,0,0,7.36,28,71,58,Low
S00190,3.44,2.49,Light,9.76,0,0,7.11,22,51,74,Medium
S00191,2.66,2.46,Dark,7.48,1,1,6.87,27,57,89,High
S00192,2.34,2.76,Medium,7.88,0,0,7.22,24,65,88,High
S00193,2.1,2.78,Light,8.71,0,1,7.37,24,70,60,Low
S00194,2.13,1.71,Medium,7.1,0,1,6.18,26,56,82,Medium
S00195,2.29,1.56,Dark,9.68,0,0,6.76,35,53,83,Medium
S00196,2.72,1.67,Dark,9.76,1,0,7.37,22,57,95,High
S00197,2.2,2.64,Dark,8.87,1,0,6.19,25,76,82,Medium
S00198,2.26,1.85,Light,8.19,1,0,7.19,35,68,73,Medium
S00199,3.37,2.18,Light,8.49,1,0,6.46,27,60,66,Medium
S00200,2.14,2.33,Medium,8.54,1,1,6.51,28,50,56,Low
S00201,3.38,1.89,Light,8.41,1,1,6.56,24,66,94,High
S00202,2.78,2.85,Dark,9.48,1,0,7.46,26,57,88,High
S00203,2.01,2.46,Light,8.03,0,1,7.11,23,70,89,High
S00204,2.44,1.63,Dark,7.84,0,0,6.97,35,72,71,Medium
S00205,3.44,1.69,Dark,7.89,1,0,6.11,31,52,63,Low
S00206,2.72,2.57,Dark,8.99,0,0,6.73,29,76,79,Medium
S00207,2.66,1.77,Medium,7.54,0,0,6.26,27,69,97,High
S00208,2.35,1.66,Light,7.17,1,0,6.02,34,67,64,Low
S00209,2.43,1.74,Medium,7.08,0,1,7.42,21,79,50,Low
S00210,3.23,1.62,Light,7.23,1,0,6.31,29,71,94,High
S00211,2.42,3,Medium,7.14,1,1,7.34,23,56,93,High
S00212,2.6,2.81,Medium,9.08,0,0,6.68,20,53,91,High
S00213,3.28,1.89,Light,8.06,0,0,6.07,22,70,86,High
S00214,2.39,2.69,Medium,7.14,1,1,6.23,20,52,98,High
S00215,2.91,2.11,Dark,8.65,1,1,6.23,35,61,68,Medium
S00216,2.18,2.16,Dark,8.12,0,1,7.46,27,62,85,Medium
S00217,2.17,2.48,Light,9.96,0,1,6.78,21,58,72,Medium
S00218,2.48,2.94,Light,8.6,1,0,6.03,30,52,76,Medium
S00219,2.14,2.36,Dark,8.42,0,1,6.27,28,53,80,Medium
S00220,2.97,2.19,Dark,7.37,0,0,7.07,20,67,60,Low
S00221,2.64,2.55,Dark,9.04,0,1,6.84,27,67,78,Medium
S00222,2.37,2.4,Light,8.82,1,1,6.46,23,57,82,Medium
S00223,2.8,2.87,Medium,9.27,0,0,6.11,32,62,50,Low
S00224,2.15,1.6,Light,8.72,0,0,7.39,24,66,65,Low
S00225,2.51,1.66,Medium,10,1,1,7.07,29,55,70,Medium
S00226,2.02,1.95,Dark,8.26,0,1,6.93,31,79,57,Low
S00227,2.28,2.92,Dark,9.65,0,0,6.28,25,68,78,Medium
S00228,2.68,2.83,Light,8.88,1,1,6.57,32,55,51,Low
S00229,3.07,2.07,Medium,9.74,0,0,7.41,21,69,57,Low
S00230,2.22,2.57,Light,7.62,0,0,6.66,31,62,62,Low
S00231,2.02,2.97,Light,9.66,1,1,7.47,29,70,57,Low
S00232,2.34,2.2,Medium,8.57,0,0,7.47,23,65,99,High
S00233,2.65,2.46,Dark,7.98,0,1,6.2,24,73,79,Medium
S00234,2.61,2.55,Dark,8.26,1,1,7.36,31,74,74,Medium
S00235,2.05,1.94,Medium,7.85,0,0,6.45,26,61,93,High
S00236,2.08,1.91,Medium,7.77,0,1,7.02,33,50,69,Medium
S00237,2.33,1.98,Light,7.43,0,1,6.14,24,78,68,Medium
S00238,3.41,2.76,Light,8.07,0,0,7.2,34,59,66,Medium
S00239,2.9,2.46,Medium,9.43,0,1,7.12,30,62,76,Medium
S00240,2.66,2.84,Light,9.2,1,1,7.42,28,51,90,High
S00241,2.42,1.84,Medium,9.97,1,0,7.42,28,71,85,Medium
S00242,2.27,1.79,Dark,9.79,1,0,6.75,29,63,77,Medium
S00243,2.82,2.28,Dark,8.9,1,1,6.72,30,80,96,High
S00244,2.42,1.98,Medium,9.13,1,0,6.22,35,69,67,Medium
S00245,3.13,2.23,Light,7.29,1,1,6.46,21,53,52,Low
S00246,2.56,2.98,Dark,9.95,1,1,6.22,28,66,95,High
S00247,2.91,1.69,Medium,9.72,1,0,6.1,23,63,75,Medium
S00248,2.94,2.36,Light,8.69,0,0,6.35,25,58,52,Low
S00249,3.14,2.82,Medium,9.63,0,1,6.19,22,57,52,Low
S00250,3.5,2.05,Dark,7.06,0,1,7.24,28,67,60,Low
S00251,2.93,2.58,Medium,7.11,0,1,6.65,31,79,73,Medium
S00252,3.21,2.68,Light,9.97,1,1,7.32,29,68,84,Medium
S00253,3.11,1.99,Medium,9.9,1,1,6.57,33,59,98,High
S00254,3.46,2.71,Light,9.82,0,0,6.76,32,79,72,Medium
S00255,3.26,1.89,Dark,9.55,0,1,7.38,32,64,68,Medium
S00256,3.14,2.09,Medium,9.42,1,0,6.86,22,78,51,Low
S00257,3.27,2.07,Medium,7.38,1,0,6.34,23,60,98,High
S00258,2.04,1.73,Dark,7.96,0,1,6.88,20,63,82,Medium
S00259,2.84,2.25,Medium,7.98,0,1,6.65,22,62,72,Medium
S00260,2.17,1.64,Dark,8.96,1,0,7.33,28,72,76,Medium
S00261,2.85,2.22,Medium,8.27,1,1,6.53,27,59,85,Medium
S00262,2.1,2.9,Medium,7.79,0,0,6.12,22,78,85,Medium
S00263,2.19,1.65,Dark,9.08,1,1,6.94,33,79,81,Medium
S00264,3.43,1.72,Medium,9.09,1,0,6.92,35,60,57,Low
S00265,3.41,1.5,Light,8.62,1,1,7.08,22,62,59,Low
S00266,2.68,2.92,Light,8.33,1,0,6.88,33,51,79,Medium
S00267,2.08,2.56,Medium,9.64,0,0,6.01,20,70,64,Low
S00268,2.13,1.82,Medium,7.81,1,0,6.32,29,59,70,Medium
S00269,3.43,1.8,Dark,8.59,0,1,6.3,20,56,93,High
S00270,2.22,2.51,Dark,9.15,1,1,7.17,29,73,63,Low
S00271,2.36,2.79,Medium,8.26,1,1,7.48,23,61,67,Medium
S00272,2.75,1.74,Light,8.48,0,0,6.23,31,61,58,Low
S00273,3.48,2.63,Light,9.09,1,1,6.98,32,71,78,Medium
S00274,2.59,1.54,Dark,7.12,0,0,6.85,20,76,62,Low
S00275,2.67,2,Dark,8.31,1,0,6.14,34,74,53,Low
S00276,2.5,1.87,Medium,7.82,1,0,6.81,28,58,99,High
S00277,2.76,2.72,Light,9.69,1,1,7.02,20,77,58,Low
S00278,2.01,2.13,Light,7.83,1,1,7.35,35,74,76,Medium
S00279,2.96,2.04,Medium,7.98,0,1,6.78,21,77,84,Medium
S00280,2.26,1.72,Light,9.25,1,1,6.78,31,75,61,Low
S00281,2.94,2.21,Light,7.21,1,1,6.18,23,72,59,Low
S00282,3.14,2.88,Light,9.48,1,1,6.86,31,62,82,Medium
S00283,2.73,2.73,Light,8.97,0,1,6.19,28,80,50,Low
S00284,2.26,1.74,Light,8.57,0,0,7.13,35,75,92,High
S00285,2.07,1.88,Medium,9.02,0,0,6.35,20,59,51,Low
S00286,2.71,2.87,Light,8.34,1,1,6.23,32,54,85,Medium
S00287,2.13,2.41,Dark,7.5,1,0,6.65,35,69,79,Medium
S00288,2.9,2.57,Medium,9.25,0,0,6.73,35,51,60,Low
S00289,2.15,2.61,Dark,8.92,0,1,6.86,33,80,54,Low
S00290,2.18,1.77,Medium,9.46,1,0,6.67,30,68,68,Medium
S00291,2.47,2.27,Medium,7.88,1,0,6.78,35,66,61,Low
S00292,3.25,1.72,Medium,8.35,0,1,6.54,34,57,78,Medium
S00293,2.08,2.88,Light,8.37,1,0,7.12,34,77,53,Low
S00294,3.43,2.14,Light,7.87,0,1,6.96,29,50,80,Medium
S00295,2.98,2.3,Light,8.07,1,0,7.04,33,62,93,High
S00296,2.43,2.34,Medium,9.87,0,0,7.49,20,77,83,Medium
S00297,2.62,2.21,Light,9.78,0,1,6.74,25,61,54,Low
S00298,3.5,1.78,Light,8.45,0,0,7.05,28,59,66,Medium
S00299,3.32,2.52,Medium,7.07,1,1,6.52,22,70,72,Medium
S00300,2.26,2.58,Dark,9.62,0,0,6.31,28,75,92,High
S00301,3.36,2.07,Medium,7.14,0,0,7.46,34,60,59,Low
S00302,2.22,2.76,Dark,7.97,1,1,6.3,20,54,58,Low
S00303,2.96,2.71,Medium,8.65,0,1,6.19,29,51,92,High
S00304,2.87,2.41,Dark,7.94,0,1,6.58,21,80,81,Medium
S00305,2,1.59,Medium,7.89,1,0,7.07,35,80,61,Low
S00306,2.06,2.5,Light,7.09,0,1,7.25,33,72,60,Low
S00307,2.23,1.98,Medium,8.45,0,0,6.28,30,57,53,Low
S00308,2.49,2.73,Medium,7.45,1,1,6.1,35,65,100,High
S00309,3.19,2.44,Dark,9.02,0,0,6.44,27,51,61,Low
S00310,2.3,2.55,Dark,7.37,1,1,6.65,30,73,58,Low
S00311,2.9,1.86,Dark,8.66,0,1,6.94,22,67,75,Medium
S00312,2.98,1.71,Light,8.67,1,0,6.67,27,62,99,High
S00313,2.96,2.94,Medium,7.75,1,1,6.02,33,56,82,Medium
S00314,2.99,1.53,Medium,9.38,1,1,6.71,21,67,93,High
S00315,3.28,2.89,Medium,8.19,1,0,6.85,21,77,65,Low
S00316,2.44,1.73,Light,8.39,1,0,6.35,22,53,54,Low
S00317,3.07,2.34,Dark,8.32,1,1,6.87,26,67,94,High
S00318,3.31,2.86,Dark,7.71,1,0,6.47,34,78,97,High
S00319,2.3,2.25,Medium,9.56,0,0,6.29,26,80,63,Low
S00320,3.12,2.93,Medium,7.93,0,0,6.13,24,56,62,Low
S00321,2.93,2.82,Medium,7.88,0,1,6.48,35,80,58,Low
S00322,2.56,2.71,Medium,7.51,0,0,7.18,31,56,62,Low
S00323,2.8,2.61,Light,8.7,0,0,6.05,25,66,94,High
S00324,2.61,2.6,Dark,9.1,1,0,6.66,33,76,56,Low
S00325,3.47,1.65,Light,8.99,1,1,7.07,25,58,70,Medium
S00326,3.01,2.05,Light,9.02,0,0,6.55,30,74,75,Medium
S00327,2.57,2.44,Medium,8.41,1,0,7.27,33,52,81,Medium
S00328,2.85,2.45,Light,8.18,0,1,6.79,33,70,60,Low
S00329,2.78,2.65,Dark,9.36,1,0,7.2,22,51,72,Medium
S00330,2.88,1.88,Dark,9.12,1,1,6.34,33,68,70,Medium
S00331,2.52,2.62,Light,7.2,1,1,6.16,21,59,75,Medium
S00332,2.29,1.58,Light,7.12,1,1,7.4,29,75,59,Low
S00333,2.09,1.79,Light,7.54,0,0,7.4,25,53,67,Medium
S00334,2.71,1.91,Light,7.81,1,0,6.26,21,64,100,High
S00335,3.48,2.07,Dark,7.25,0,0,7.49,25,53,58,Low
S00336,2.13,2.29,Light,7.41,1,1,6.65,34,75,50,Low
S00337,2.07,2.66,Dark,8.95,0,0,6.06,35,52,52,Low
S00338,3.29,2.86,Medium,9.88,1,1,6.68,29,53,70,Medium
S00339,3.43,2.19,Light,7.54,1,1,7.37,35,75,77,Medium
S00340,3.42,1.76,Medium,7.15,0,1,6.47,34,77,51,Low
S00341,3.29,1.88,Dark,7.37,1,1,7.22,27,66,93,High
S00342,3.02,1.95,Medium,9.58,1,1,6.81,28,77,87,High
S00343,2.07,1.76,Dark,7.87,1,1,7.23,35,58,84,Medium
S00344,2.2,3,Light,7.99,1,1,7.35,25,63,96,High
S00345,2.97,2.3,Medium,8.57,1,1,7.15,21,60,57,Low
S00346,3.37,2.17,Medium,7.78,0,0,6.85,28,76,51,Low
S00347,2.11,1.74,Light,7.79,1,1,6.38,27,72,61,Low
S00348,3.11,2.33,Light,7.45,1,1,6.24,26,76,100,High
S00349,3.42,2.91,Medium,7.52,0,0,7.38,35,61,66,Medium
S00350,3.13,2.11,Medium,8.45,1,0,7.07,31,65,61,Low
S00351,3.13,2.61,Light,9.63,1,1,6.98,26,53,89,High
S00352,2.56,2.44,Medium,9.9,1,0,6.59,22,62,73,Medium
S00353,2.41,2.53,Light,8.83,0,1,7.02,34,51,64,Low
S00354,2.54,2.09,Dark,9.38,1,0,7.17,30,54,78,Medium
S00355,2.81,2.6,Light,7.67,0,0,6.72,20,53,86,High
S00356,2.67,2.87,Dark,9.77,0,1,7.01,31,66,60,Low
S00357,2.94,2.96,Medium,8.33,0,1,6.13,31,58,83,Medium
S00358,2.31,1.92,Medium,7.09,0,0,6.62,33,67,95,High
S00359,2.67,2.04,Medium,8.79,0,1,6.7,30,60,72,Medium
S00360,3.14,2.36,Light,7.44,1,0,6.98,30,71,55,Low
S00361,2.48,1.69,Medium,7.04,0,0,6.37,24,52,100,High
S00362,2.57,2.01,Dark,9.21,0,1,6.13,24,53,81,Medium
S00363,3.45,2.68,Dark,9.98,1,1,7.5,24,70,52,Low
S00364,3.42,2.55,Light,7.45,0,0,6.53,35,74,81,Medium
S00365,3.29,1.65,Dark,8.78,0,0,6.22,34,64,57,Low
S00366,2.34,2.26,Medium,7.22,0,1,6.28,24,54,64,Low
S00367,3.29,1.69,Dark,7.27,1,0,7.17,33,62,63,Low
S00368,2.06,2.85,Light,7.92,1,1,6.7,21,64,76,Medium
S00369,2.98,1.57,Light,9.22,0,1,6.09,21,62,89,High
S00370,3.1,1.78,Light,7.48,0,0,6.79,24,63,60,Low
S00371,3.28,1.7,Light,8.61,0,0,6.42,25,71,73,Medium
S00372,3.24,2.63,Light,9.76,0,0,6.28,28,69,57,Low
S00373,2.56,1.97,Light,9.99,1,1,7.25,30,61,60,Low
S00374,3.25,1.69,Medium,9.6,0,1,6.97,25,50,53,Low
S00375,2.87,1.51,Light,7.97,0,0,7.3,20,52,84,Medium
